institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Les Hôpitaux Universitaires de Genève HUG;D.1.17.M Respiration artificielle >24 h en cas de pneumonie nosocomiale, sans tumeur ni mucoviscidose (âge >19), admissions directes, mortalité;30.1%;26.7%;1.1;73;6.9%;24.9%;0.3;29
Les Hôpitaux Universitaires de Genève HUG;D.1.17.P Respiration artificielle >24 h en cas de pneumonie nosocomiale, sans tumeur ni mucoviscidose (âge >19), admissions directes, pourcentage;17.4%;26.6%;*;73;15.3%;22.7%;*;29
Les Hôpitaux Universitaires de Genève HUG;D.2 Broncho­pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;D.2.1.M BPCO sans tumeur (âge >19), mortalité;4.5%;4.1%;1.1;1'984;4.6%;4.6%;1.0;327
Les Hôpitaux Universitaires de Genève HUG;D.2.2.M BPCO sans tumeur avec VEF1 <35 % (âge >19), mortalité;6.6%;6.5%;1.0;549;13.2%;9.2%;1.4;76
Les Hôpitaux Universitaires de Genève HUG;D.2.3.M BPCO sans tumeur avec VEF1 35-49 % (âge >19), mortalité;4.0%;3.6%;1.1;473;2.3%;3.9%;0.6;44
Les Hôpitaux Universitaires de Genève HUG;D.2.4.M BPCO sans tumeur avec VEF1 50-69 % (âge >19), mortalité;2.6%;2.3%;1.1;272;0.0%;2.9%;0.0;29
Les Hôpitaux Universitaires de Genève HUG;D.2.5.M BPCO sans tumeur avec VEF1 >69 % (âge >19), mortalité;2.6%;2.5%;1.0;77;0.0%;4.0%;0.0;10
Les Hôpitaux Universitaires de Genève HUG;D.2.6.M BPCO sans tumeur avec VEF1 non précisé (âge >19), mortalité;4.1%;4.0%;1.0;613;2.4%;3.8%;0.6;168
Les Hôpitaux Universitaires de Genève HUG;D.2.6.P BPCO sans tumeur avec VEF1 non précisé (âge >19), pourcentage;30.9%;20.6%;*;613;51.4%;23.1%;*;168
Les Hôpitaux Universitaires de Genève HUG;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;D.3.1.F Traitements hospitaliers en cas de DP cancer du poumon;*;*;*;1'735;*;*;*;377
Les Hôpitaux Universitaires de Genève HUG;D.4 Opérations du poumon; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;D.4.1.M Total des résections pulmonaires ou bronchiques, mortalité;1.7%;1.6%;1.1;647;0.6%;1.5%;0.4;160
Les Hôpitaux Universitaires de Genève HUG;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalité;9.1%;9.3%;1.0;11;*;*;*;0
Les Hôpitaux Universitaires de Genève HUG;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;3.0%;3.8%;*;11;0.0%;2.6%;*;0
Les Hôpitaux Universitaires de Genève HUG;D.4.3.M Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;2.0%;1.5%;1.4;351;0.0%;1.8%;0.0;89
Les Hôpitaux Universitaires de Genève HUG;D.4.4.P Bronchoplastie et angioplastie en cas de carcinome bronchique, pourcentage;3.6%;6.3%;*;13;*;*;*;3
Les Hôpitaux Universitaires de Genève HUG;D.4.5.M Pleurectomie, mortalité;13.3%;4.5%;2.9;60;0.0%;4.1%;0.0;15
Les Hôpitaux Universitaires de Genève HUG;E Maladies des organes abdominaux; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.1 Ablation de la vésicule biliaire (cholécystectomie); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.1.1.M Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité;0.1%;0.2%;0.7;2'081;0.5%;0.2%;2.4;420
Les Hôpitaux Universitaires de Genève HUG;E.1.2.P Laparoscopie avec cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, pourcentage;96.0%;97.2%;*;1'997;97.1%;98.1%;*;408
Les Hôpitaux Universitaires de Genève HUG;E.2 Réparations de hernie; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.2.1.M Herniotomie sans OP de l'intestin, mortalité;0.2%;0.1%;1.7;1'977;0.0%;0.1%;0.0;391
Les Hôpitaux Universitaires de Genève HUG;E.2.2.M Herniotomie avec OP de l'intestin, mortalité;2.4%;4.3%;0.6;83;0.0%;4.2%;0.0;18
Les Hôpitaux Universitaires de Genève HUG;E.2.3.P OP alloplastique de hernie inguinale, âge 0-19, pourcentage;*;*;*;5;0.0%;14.3%;*;0
Les Hôpitaux Universitaires de Genève HUG;E.2.4.P OP alloplastique de hernie inguinale, âge >19, pourcentage;96.2%;98.4%;*;941;91.3%;98.8%;*;179
Les Hôpitaux Universitaires de Genève HUG;E.3 Opérations de la thyroïde; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.3.1.F Résections thyroïdiennes;*;*;*;1'172;*;*;*;337
Les Hôpitaux Universitaires de Genève HUG;E.3.2.P Cas de respiration artificielle >24 h en cas de résections thyroïdiennes, pourcentage;*;*;*;1;*;*;*;2
Les Hôpitaux Universitaires de Genève HUG;E.3.4.F Résections thyroïdiennes en cas de tumeurs malignes de la thyroïde;*;*;*;382;*;*;*;102
Les Hôpitaux Universitaires de Genève HUG;E.3.5.F Résections thyroïdiennes pour affections bénignes de la thyroïde;*;*;*;715;*;*;*;215
Les Hôpitaux Universitaires de Genève HUG;E.3.3.F Radiothérapie par iode radioactif;*;*;*;283;*;*;*;57
Les Hôpitaux Universitaires de Genève HUG;E.4 Maladies du côlon et du rectum; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.4.11.F Traitements hospitaliers en cas de DP carcinome colorectal;*;*;*;1'447;*;*;*;295
Les Hôpitaux Universitaires de Genève HUG;E.4.12.F Traitements hospitaliers en cas de colite ulcéreuse ou maladie de Crohn (DP ou DS);*;*;*;1'016;*;*;*;250
Les Hôpitaux Universitaires de Genève HUG;E.4.1.M Total des résections colorectales, mortalité;4.3%;3.8%;1.1;1'363;2.9%;3.8%;0.8;313
Les Hôpitaux Universitaires de Genève HUG;E.4.2.M Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;0.5%;1.9%;0.3;406;0.0%;1.6%;0.0;86
Les Hôpitaux Universitaires de Genève HUG;E.4.3.M Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;5.1%;6.0%;0.8;59;0.0%;4.4%;0.0;30
Les Hôpitaux Universitaires de Genève HUG;E.4.4.M Résections du rectum pour cancer colorectal, mortalité;2.1%;1.3%;1.7;142;0.0%;0.7%;0.0;24
Les Hôpitaux Universitaires de Genève HUG;E.4.5.M Résections colorectales pour diverticule sans abcès/perforation, mortalité;0.0%;0.3%;0.0;71;0.0%;0.2%;0.0;19
Les Hôpitaux Universitaires de Genève HUG;E.4.6.M Résections colorectales pour diverticule avec abcès/perforation, mortalité;5.0%;3.5%;1.4;159;4.7%;4.5%;1.0;43
Les Hôpitaux Universitaires de Genève HUG;E.4.7.M Résections colorectales pour ischémie intestinale, mortalité;24.4%;32.3%;0.8;82;17.6%;32.8%;0.5;17
Les Hôpitaux Universitaires de Genève HUG;E.4.13.M Résections colorectales pour colite ulcéreuse ou maladie de Crohn, mortalité;0.0%;1.0%;0.0;78;7.1%;1.2%;6.0;14
Les Hôpitaux Universitaires de Genève HUG;E.4.8.M Résections du côlon pour autre diagnostic, mortalité;6.4%;4.7%;1.4;360;3.8%;4.7%;0.8;80
Les Hôpitaux Universitaires de Genève HUG;E.4.14.P Résection/destruction du foie avec résections colorectales pour carcinome colorectal, pourcentage;5.5%;3.2%;*;34;*;*;*;5
Les Hôpitaux Universitaires de Genève HUG;E.4.15.M Résections colorectales (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) sans résections profondes du rectum avec insuffisance anastomosique, mortalité;2.4%;8.2%;0.3;41;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;E.4.15.P Résections colorectales (E.4.2.F, E.4.3.F, E.4.4.F, E.4.5.F, E.4.6.F, E.4.13.F) sans résections profondes du rectum avec insuffisance anastomosique, pourcentage;5.2%;5.5%;*;41;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;E.4.16.M Résections antérieures profondes du rectum avec insuffisance anastomosique, mortalité;*;*;*;5;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;E.4.16.P Résections antérieures profondes du rectum avec insuffisance anastomosique, pourcentage;*;*;*;5;*;*;*;1
Les Hôpitaux Universitaires de Genève HUG;E.5 Maladies de l'estomac; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.5.4.F Traitements hospitaliers en cas de DP cancer de l'estomac;*;*;*;500;*;*;*;138
Les Hôpitaux Universitaires de Genève HUG;E.5.5.M DP ulcère de l'estomac, du duodénum ou du jéjunum, sans tumeur, mortalité;4.0%;3.5%;1.1;569;1.9%;2.3%;0.8;104
Les Hôpitaux Universitaires de Genève HUG;E.5.1.F Total des gastrectomies;*;*;*;742;*;*;*;158
Les Hôpitaux Universitaires de Genève HUG;E.5.2.M Gastrectomies (sans OP de l'œsophage) en cas de cancer de l'estomac, mortalité;1.3%;2.6%;0.5;76;4.8%;2.3%;2.0;21
Les Hôpitaux Universitaires de Genève HUG;E.5.3.M Gastrectomies avec OP complexe de l'œsophage, mortalité;0.0%;4.2%;0.0;90;0.0%;4.8%;0.0;18
Les Hôpitaux Universitaires de Genève HUG;E.5.6.M Gastrectomies partielles ou totales pour autre diagnostic, mortalité;0.5%;0.6%;0.9;576;0.8%;0.5%;1.6;119
Les Hôpitaux Universitaires de Genève HUG;E.6 Opérations de l'œsophage; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.6.1.M Interventions complexes de l'œsophage, mortalité;0.0%;4.6%;0.0;109;0.0%;4.8%;0.0;21
Les Hôpitaux Universitaires de Genève HUG;E.7 Opérations du pancréas et du foie; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.7.1.M Total des interventions sur le pancréas sans transplantation (âge >19), mortalité;4.3%;4.0%;1.1;328;3.5%;4.1%;0.8;86
Les Hôpitaux Universitaires de Genève HUG;E.7.3.M Résections du pancréas en cas de tumeurs malignes du pancréas, TIPMP inclus (âge >19), mortalité;2.5%;3.3%;0.7;163;2.4%;3.1%;0.8;42
Les Hôpitaux Universitaires de Genève HUG;E.7.4.M Autres interventions locales/plus petites sur le pancréas (âge >19), mortalité;8.0%;5.1%;1.6;88;4.0%;5.0%;0.8;25
Les Hôpitaux Universitaires de Genève HUG;E.7.5.M Résections anatomiques du foie (âge >19), mortalité;1.1%;4.1%;0.3;182;5.9%;4.0%;1.5;51
Les Hôpitaux Universitaires de Genève HUG;E.7.6.M Résections anatomiques du foie avec quatre segments et plus (âge >19), mortalité;0.8%;5.4%;0.1;126;6.5%;4.6%;1.4;31
Les Hôpitaux Universitaires de Genève HUG;E.8 Interventions bariatriques; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;E.8.1.M Chirurgie bariatrique, mortalité;0.0%;0.0%;0.0;507;0.0%;0.0%;0.0;101
Les Hôpitaux Universitaires de Genève HUG;F Affections des vaisseaux; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.1 Opérations des artères cérébrales; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.1.6.M OP des vaisseaux extra­crâniens sur l'artère carotide (âge >19), mortalité;0.4%;0.8%;0.4;268;0.0%;0.5%;0.0;75
Les Hôpitaux Universitaires de Genève HUG;F.1.7.M OP des vaisseaux extra­crâniens sur l'artère vertébrale (âge >19), mortalité;*;*;*;-;*;*;*;-
Les Hôpitaux Universitaires de Genève HUG;F.1.8.M Implantation percutanée de stents dans l'artère carotide (âge >19), mortalité;0.0%;3.4%;0.0;131;0.0%;0.6%;0.0;20
Les Hôpitaux Universitaires de Genève HUG;F.1.9.M Implantation percutanée de stents dans l'artère carotide en cas d'AIT ou d'infarctus cérébral (âge >19), mortalité;0.0%;4.5%;0.0;67;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;F.1.10.M Implantation percutanée de stents dans l'artère carotide en cas de sténose (âge >19), mortalité;0.0%;0.6%;0.0;56;*;*;*;8
Les Hôpitaux Universitaires de Genève HUG;F.1.11.M Autres implantations percutanées de stents dans l'artère carotide (âge >19), mortalité;*;*;*;8;*;*;*;3
Les Hôpitaux Universitaires de Genève HUG;F.1.12.M Implantation percutanée de stents dans l'artère vertébrale (âge >19), mortalité;7.7%;5.1%;1.5;13;*;*;*;2
Les Hôpitaux Universitaires de Genève HUG;F.1.13.M Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur, de l'aorte, des artères des jambes, de traumatisme ou de tumeurs malignes ORL (âge >19), mortalité;10.5%;6.7%;1.6;19;*;*;*;5
Les Hôpitaux Universitaires de Genève HUG;F.1.4.F Interventions vasculaires percutanées transluminales intracrâniennes;*;*;*;402;*;*;*;97
Les Hôpitaux Universitaires de Genève HUG;F.2 Maladies de l'aorte; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.2.1.F Total des OP de l'aorte;*;*;*;269;*;*;*;105
Les Hôpitaux Universitaires de Genève HUG;F.2.7.F Résection/remplacement de l'aorte abdominale;*;*;*;135;*;*;*;49
Les Hôpitaux Universitaires de Genève HUG;F.2.2.M Résection/remplacement de l'aorte abdominale en cas d'anévrisme, sans rupture, OP à ciel ouvert, mortalité;0.0%;2.1%;0.0;33;0.0%;0.6%;0.0;19
Les Hôpitaux Universitaires de Genève HUG;F.2.3.M Prothèse stentgraft endovasculaire de l'aorte abdominale en cas d'anévrisme (EVAR), sans rupture, mortalité;2.7%;0.9%;3.1;74;0.0%;0.7%;0.0;22
Les Hôpitaux Universitaires de Genève HUG;F.2.8.M Résection/remplacement de l'aorte abdominale sans anévrisme, OP à ciel ouvert, mortalité;*;*;*;6;*;*;*;0
Les Hôpitaux Universitaires de Genève HUG;F.2.9.M Prothèse stentgraft endovasculaire de l'aorte abdominale sans anévrisme, mortalité;*;*;*;3;*;*;*;3
Les Hôpitaux Universitaires de Genève HUG;F.2.4.F Résection/remplacement de l'aorte thoracique/thoraco­abdominale (sans prothèse vasculaire avec valve);*;*;*;134;*;*;*;56
Les Hôpitaux Universitaires de Genève HUG;F.2.10.M Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, sans OP du cœur, mortalité;6.1%;4.6%;1.3;33;7.7%;3.5%;2.2;13
Les Hôpitaux Universitaires de Genève HUG;F.2.11.M Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, avec OP du cœur, mortalité;8.3%;6.7%;1.2;60;0.0%;3.3%;0.0;32
Les Hôpitaux Universitaires de Genève HUG;F.2.12.M Résection/remplacement de l'aorte thoracique/thoraco­abdominale sans anévrisme, mortalité;10.3%;7.0%;1.5;29;*;*;*;7
Les Hôpitaux Universitaires de Genève HUG;F.2.5.M Anévrisme de l'aorte avec rupture, mortalité;38.2%;36.2%;1.1;89;35.0%;30.0%;1.2;20
Les Hôpitaux Universitaires de Genève HUG;F.2.6.M Anévrisme de l'aorte avec rupture, avec OP, mortalité;12.9%;22.8%;0.6;31;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;F.3 Opérations des artères du bassin et des jambes; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.3.1.M Total des OP des artères du bassin/des jambes, mortalité;6.0%;4.3%;1.4;566;4.6%;3.9%;1.2;108
Les Hôpitaux Universitaires de Genève HUG;F.3.2.M OP des artères du bassin/des jambes en cas de claudication (Fontaine I+II), mortalité;0.0%;0.3%;0.0;48;0.0%;0.7%;0.0;11
Les Hôpitaux Universitaires de Genève HUG;F.3.3.M OP des artères du bassin/des jambes en cas de douleurs au repos (Fontaine III), mortalité;3.1%;2.6%;1.2;32;*;*;*;5
Les Hôpitaux Universitaires de Genève HUG;F.3.4.M OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène (Fontaine IV), mortalité;1.8%;3.8%;0.5;55;0.0%;0.9%;0.0;12
Les Hôpitaux Universitaires de Genève HUG;F.3.5.M OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité;10.3%;6.6%;1.6;165;7.4%;6.2%;1.2;27
Les Hôpitaux Universitaires de Genève HUG;F.3.6.M OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité;5.8%;3.8%;1.5;86;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;F.3.7.M OP des artères du bassin/des jambes en cas d'anévrisme/de dissection, mortalité;2.0%;1.3%;1.5;50;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;F.3.8.F OP des artères du bassin/des jambes combinée à une OP de l'aorte;*;*;*;31;*;*;*;14
Les Hôpitaux Universitaires de Genève HUG;F.3.9.F OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;*;*;*;99;*;*;*;21
Les Hôpitaux Universitaires de Genève HUG;F.4 Amputations; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.4.1.M Amputation non traumatique au niveau du pied, mortalité;1.1%;2.2%;0.5;373;4.2%;2.1%;2.0;96
Les Hôpitaux Universitaires de Genève HUG;F.4.2.M Amputation non traumatique de membre inférieur, mortalité;8.6%;8.9%;1.0;116;7.4%;10.0%;0.7;27
Les Hôpitaux Universitaires de Genève HUG;F.5 Angioplasties transluminales percutanées (ATP); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.5.1.M ATP des artères de l'abdomen/des jambes (hormis aorte), mortalité;3.7%;2.5%;1.4;1'253;2.7%;2.2%;1.2;330
Les Hôpitaux Universitaires de Genève HUG;F.5.4.M ATP des artères iliaques/du bassin/des jambes en cas de claudication, mortalité;0.0%;0.3%;0.0;105;0.0%;0.2%;0.0;34
Les Hôpitaux Universitaires de Genève HUG;F.5.5.M ATP des artères iliaques/du bassin/des jambes en cas de douleurs au repos, mortalité;0.0%;0.8%;0.0;67;0.0%;1.3%;0.0;18
Les Hôpitaux Universitaires de Genève HUG;F.5.6.M ATP des artères iliaques/du bassin/des jambes en cas d'ulcération ou de gangrène, mortalité;2.5%;2.4%;1.0;198;0.0%;2.1%;0.0;52
Les Hôpitaux Universitaires de Genève HUG;F.5.7.M ATP des artères iliaques/du bassin/des jambes en cas d'autre diagnostic ou d'une OP de l'aorte, mortalité;4.6%;3.9%;1.2;883;4.0%;3.3%;1.2;226
Les Hôpitaux Universitaires de Genève HUG;F.5.2.F ATP des artères de l'abdomen/des jambes (hormis aorte) avec OP des artères du bassin/des jambes;*;*;*;183;*;*;*;38
Les Hôpitaux Universitaires de Genève HUG;F.5.3.F Anévrisme/dissection des artères du bassin/des jambes avec OP;*;*;*;50;*;*;*;9
Les Hôpitaux Universitaires de Genève HUG;F.6 Fistule artério­veineuse; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;F.6.1.F Insertion de shunt artério­veineux (fistule AV interne);*;*;*;55;*;*;*;16
Les Hôpitaux Universitaires de Genève HUG;G Gynécologie et obstétrique; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;G.1 Accouchements; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;G.1.1.F Accouchements hospitaliers;*;*;*;20'268;*;*;*;3'841
Les Hôpitaux Universitaires de Genève HUG;G.1.1.P Accouchements hospitaliers contribuant au décès de la mère, pourcentage;*;*;*;1;0.0%;0.0%;*;0
Les Hôpitaux Universitaires de Genève HUG;G.1.2.P Accouchements par voie vaginale avec rupture périnéale du 3ème et 4ème degré, pourcentage;2.4%;2.8%;*;359;1.6%;2.8%;*;47
Les Hôpitaux Universitaires de Genève HUG;G.1.3.P Accouchements par voie vaginale avec épisiotomie, pourcentage;12.3%;12.3%;*;1'851;13.4%;9.2%;*;394
Les Hôpitaux Universitaires de Genève HUG;G.1.4.P Césariennes, pourcentage;25.5%;32.3%;*;5'174;23.2%;33.3%;*;893
Les Hôpitaux Universitaires de Genève HUG;G.1.5.P Césariennes en cas d'accouchement à faible risque, pourcentage;21.3%;27.2%;*;3'786;19.2%;28.5%;*;646
Les Hôpitaux Universitaires de Genève HUG;G.1.6.P Césariennes en cas d'accouchement à faible risque, âge <35, pourcentage;18.0%;24.2%;*;2'160;15.9%;25.4%;*;348
Les Hôpitaux Universitaires de Genève HUG;G.1.7.P Césariennes en cas d'accouchement à faible risque, âge >34, pourcentage;28.3%;34.4%;*;1'626;25.3%;35.2%;*;298
Les Hôpitaux Universitaires de Genève HUG;G.2 Nouveau­nés; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;G.2.1.F Nouveau­nés <1250 g;*;*;*;238;*;*;*;40
Les Hôpitaux Universitaires de Genève HUG;G.2.2.F Nouveau­nés <1250 g, transféré d'un autre hôpital;*;*;*;9;*;*;*;2
Les Hôpitaux Universitaires de Genève HUG;G.2.3.F Nouveau­nés <500 g;*;*;*;19;*;*;*;2
Les Hôpitaux Universitaires de Genève HUG;G.2.4.F Nouveau­nés 500-749 g;*;*;*;56;*;*;*;15
Les Hôpitaux Universitaires de Genève HUG;G.2.5.F Nouveau­nés 750-999 g;*;*;*;74;*;*;*;8
Les Hôpitaux Universitaires de Genève HUG;G.2.6.F Nouveau­nés 1000-1249 g;*;*;*;89;*;*;*;15
Les Hôpitaux Universitaires de Genève HUG;G.2.7.F Nouveau­nés 1250-1499 g;*;*;*;107;*;*;*;16
Les Hôpitaux Universitaires de Genève HUG;G.2.8.F Nouveau­nés 1500-2499 g;*;*;*;1'457;*;*;*;284
Les Hôpitaux Universitaires de Genève HUG;G.2.9.F Nouveau­nés >2499 g ou sans indication de poids;*;*;*;19'946;*;*;*;3'778
Les Hôpitaux Universitaires de Genève HUG;G.3 Ablation de l'utérus pour affections bénignes (hystérectomie); ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;G.3.1.M Hystérectomie pour affections bénignes (âge >14), mortalité;0.0%;0.0%;0.0;868;0.0%;0.0%;*;223
Les Hôpitaux Universitaires de Genève HUG;G.3.2.P Hystérectomies laparoscopiques/vaginales, sans plastie, pourcentage;87.4%;88.1%;*;753;77.1%;90.5%;*;172
Les Hôpitaux Universitaires de Genève HUG;G.3.5.P Hystérectomies vaginales, sans plastie, pourcentage;26.9%;31.7%;*;232;22.0%;28.3%;*;49
Les Hôpitaux Universitaires de Genève HUG;G.3.7.P Hystérectomies laparoscopiques, sans plastie, pourcentage;60.4%;56.4%;*;521;55.2%;62.2%;*;123
Les Hôpitaux Universitaires de Genève HUG;G.3.3.P Hystérectomie pour affections bénignes sans endométriose (âge <50), avec ovariectomie, pourcentage;5.7%;7.7%;*;18;12.3%;6.5%;*;10
